Date,Open,High,Low,Close,Adj Close,Volume
2024-01-11,300.5,301.5,298.0,299.0,299.0,1783
2024-01-12,299.0,307.0,298.5,307.0,307.0,6570
2024-01-15,310.0,313.5,308.0,313.5,313.5,14465
2024-01-16,313.0,314.5,306.5,310.0,310.0,5544
2024-01-17,309.0,309.0,303.5,305.5,305.5,2268
2024-01-18,305.0,309.0,304.5,309.0,309.0,2078
2024-01-19,307.0,309.5,305.5,309.0,309.0,2173
2024-01-22,309.5,314.0,309.5,313.0,313.0,2173
2024-01-23,315.0,316.5,311.5,313.0,313.0,15810
2024-01-24,313.5,313.5,308.0,309.0,309.0,3166
2024-01-25,318.0,328.0,316.5,324.5,324.5,6331
2024-01-26,324.5,330.5,322.0,325.5,325.5,4697
2024-01-29,326.5,327.0,323.5,325.5,325.5,3516
2024-01-30,325.5,328.5,325.0,327.0,327.0,3316
2024-01-31,326.5,330.0,324.5,330.0,330.0,8380
2024-02-01,327.5,336.5,327.5,329.0,329.0,4301
2024-02-02,334.0,334.0,325.0,329.0,329.0,5950
2024-02-05,329.5,341.5,329.5,339.5,339.5,3771
2024-02-06,339.0,339.0,329.0,330.0,330.0,7057
2024-02-07,330.5,330.5,324.0,325.0,325.0,4879
2024-02-08,325.5,331.0,324.5,330.0,330.0,3432
2024-02-09,330.5,332.0,328.0,329.5,329.5,3694
2024-02-12,331.0,332.0,327.0,327.5,327.5,2998
2024-02-13,328.5,329.0,323.0,325.0,325.0,3374
2024-02-14,326.0,328.5,326.0,326.5,326.5,3396
2024-02-15,327.5,328.5,319.0,319.0,319.0,2678
2024-02-16,320.0,321.5,316.5,321.0,321.0,2097
2024-02-19,321.0,322.0,318.0,320.5,320.5,1449
2024-02-20,320.5,321.0,318.5,319.0,319.0,1780
2024-02-21,319.0,319.5,317.0,318.5,318.5,1169
2024-02-22,319.5,323.0,316.5,321.0,321.0,1445
2024-02-23,320.0,324.0,319.0,322.0,322.0,1755
2024-02-26,323.5,325.5,321.0,322.5,322.5,3507
2024-02-27,322.5,323.5,320.0,323.0,323.0,1529
2024-02-28,323.5,326.0,319.5,323.5,323.5,2804
2024-02-29,324.5,329.5,324.5,329.0,329.0,4232
